P1;P2;P3;P4;P5;P6;T_Final
02:52:01;04:14:12;05:56:53;06:25:24;08:34:23;10:36:25;11:43:18
02:43:32;04:13:40;06:11:44;06:48:12;09:16:50;11:14:02;12:18:22
03:08:03;04:39:34;06:29:37;06:59:38;09:40:45;12:08:35;13:23:45
03:15:20;04:48:13;06:37:29;07:05:43;09:39:46;12:09:50;13:20:18
03:15:53;04:56:32;06:55:22;07:33:08;10:19:46;12:46:40;14:23:46
03:58:51;06:17:00;08:46:20;09:29:42;13:47:25;17:15:03;18:57:02
03:55:40;05:53:22;08:35:09;09:14:59;12:35:20;15:23:34;16:52:21
03:38:03;05:41:44;07:53:59;08:31:04;12:15:29;15:41:05;17:15:32
02:35:54;03:48:45;05:21:29;05:47:24;07:48:45;09:51:01;10:58:21
03:59:20;06:21:55;08:44:54;09:24:44;13:14:18;16:48:11;18:37:55
03:04:57;04:37:07;06:22:26;06:49:25;09:17:40;11:27:32;12:32:52
03:07:56;04:34:53;06:21:43;06:49:35;09:01:44;11:15:09;12:33:34
03:36:29;05:38:10;08:11:50;08:54:13;12:17:58;15:36:53;17:14:44
03:27:19;05:12:12;07:15:49;07:50:08;10:53:50;13:41:44;15:11:33
03:51:57;06:07:28;08:39:04;09:24:40;13:45:20;17:27:26;19:55:25
02:34:07;03:56:35;05:24:37;05:51:57;07:59:11;09:56:16;10:51:39
04:03:08;06:44:24;09:28:32;10:16:09;14:25:59;18:26:08;20:14:56
03:24:43;05:17:14;07:36:15;08:16:03;11:20:17;14:19:10;15:42:43
04:09:09;06:26:10;09:09:20;09:49:51;13:39:10;17:15:20;19:28:02
03:17:28;04:57:21;06:59:29;07:32:36;11:03:03;14:31:10;15:53:33
03:04:54;04:49:50;06:34:36;07:03:44;09:23:22;11:39:34;12:49:47
02:45:31;04:11:19;05:49:42;06:15:52;08:39:19;11:26:37;12:38:51
03:18:25;05:10:14;07:14:41;07:51:24;11:14:39;14:06:30;15:56:30
03:43:14;05:55:24;08:25:34;09:04:00;12:53:48;16:32:32;18:29:20
02:48:52;04:17:34;06:06:22;06:35:32;09:11:41;11:26:27;12:31:32
03:25:26;05:03:15;06:54:20;07:24:30;09:44:17;11:56:41;13:08:39
03:58:54;06:17:01;08:46:29;09:31:09;13:47:28;17:15:04;18:57:04
03:09:36;04:51:57;06:53:35;07:26:42;10:47:31;12:26:39;13:23:45
03:06:54;04:29:49;06:08:01;06:35:11;08:50:50;11:07:28;12:11:27
03:28:40;05:14:10;07:29:06;08:02:37;11:02:14;13:45:00;15:11:01
03:44:55;05:51:48;08:12:54;08:54:25;12:54:39;16:34:37;18:14:20
03:28:08;05:34:26;07:42:44;08:20:48;11:51:46;15:02:35;16:49:45
03:05:11;04:50:07;06:51:11;07:25:02;10:31:34;13:35:57;15:10:52
03:36:07;05:36:28;07:45:33;08:17:33;10:50:22;13:21:30;14:37:41
02:49:50;04:21:32;06:15:26;06:44:06;09:20:56;11:33:02;12:41:50
03:38:26;05:32:05;07:39:47;08:14:17;11:09:55;13:59:17;15:24:40
02:31:29;03:46:52;05:24:08;05:48:28;07:52:19;09:54:30;10:53:04
02:58:06;04:30:30;06:14:42;06:41:23;09:19:09;11:13:46;12:04:00
03:49:46;05:55:37;08:20:32;08:58:16;12:15:13;14:59:04;16:28:55
02:29:48;03:44:48;05:23:08;05:51:03;08:04:11;09:58:39;10:50:32
03:05:26;04:39:36;06:26:13;06:56:57;09:27:32;11:37:53;12:37:51
02:41:24;03:55:08;05:39:18;06:11:21;08:23:52;10:13:11;11:13:47
03:31:02;05:17:21;07:23:48;07:56:00;10:50:49;13:21:05;14:37:56
02:53:08;04:18:18;06:02:58;06:32:37;09:08:20;11:24:11;12:34:08
03:00:41;04:32:59;06:25:31;06:55:02;09:27:29;11:45:29;12:53:12
02:21:30;03:31:27;05:00:49;05:24:44;07:21:36;09:08:59;10:03:57
03:06:35;04:39:38;06:24:00;06:51:23;09:21:39;11:36:45;12:45:13
03:06:59;04:40:37;06:31:45;07:05:45;10:38:06;13:36:24;15:09:01
03:07:50;04:42:47;06:28:46;06:58:52;09:36:04;11:56:23;13:01:40
03:21:32;04:57:14;06:54:23;07:25:47;09:50:33;12:14:09;13:22:47
02:55:24;04:24:34;06:22:50;06:52:03;09:41:10;12:19:47;13:33:42
02:44:12;04:06:02;05:45:13;06:13:12;08:25:46;10:32:34;11:35:44
02:44:51;04:06:04;05:45:08;06:12:03;08:25:44;10:19:42;11:16:04
04:15:43;06:55:09;09:31:16;10:17:08;14:49:11;19:27:22;21:30:52
03:22:55;05:14:47;07:15:06;07:49:16;10:53:47;13:35:58;14:57:29
03:08:10;04:50:30;06:57:19;07:32:29;10:47:59;14:13:16;15:51:15
02:37:04;03:59:26;05:36:53;06:04:44;08:21:07;10:31:20;11:38:38
03:24:58;05:16:42;07:32:04;08:09:34;11:20:09;14:02:38;15:23:03
02:57:57;04:31:44;06:22:58;06:53:06;09:49:13;12:48:50;14:22:27
02:56:21;04:17:19;05:54:29;06:19:42;08:29:25;10:30:02;11:33:30
04:03:21;06:04:43;08:21:35;09:05:00;13:30:37;17:16:31;18:52:28
02:57:02;04:31:20;06:22:19;06:50:11;09:21:22;11:36:24;12:53:04
04:15:07;06:37:59;09:29:55;10:15:56;14:18:03;18:08:15;19:56:00
04:21:56;06:41:12;09:38:54;10:35:22;14:12:23;18:12:47;20:19:51
03:37:16;05:35:40;08:02:59;08:49:11;12:49:53;16:26:26;18:20:54
04:11:04;06:37:06;09:40:03;10:30:05;14:49:51;18:28:53;20:21:54
02:56:12;04:36:53;06:29:33;06:58:17;09:42:34;11:53:52;12:57:16
03:23:34;05:06:17;07:02:20;07:32:41;10:16:06;12:53:24;14:14:15
03:44:10;05:45:56;08:07:53;08:47:44;12:14:43;15:26:03;16:51:04
03:02:05;04:36:41;06:31:18;07:01:35;09:41:59;12:06:25;13:17:29
03:36:31;05:27:28;07:36:47;08:13:16;11:19:10;14:20:34;15:47:10
02:48:57;04:13:19;05:50:44;06:19:34;08:37:28;11:23:03;12:39:47
03:24:04;05:05:51;07:08:27;07:44:35;10:56:51;14:07:27;15:33:38
03:41:01;05:32:47;07:29:39;08:00:13;10:50:28;13:23:30;14:49:16
02:51:26;04:20:44;06:03:08;06:35:06;09:17:12;11:49:18;12:50:03
03:18:06;04:57:18;06:40:51;07:10:38;09:47:29;11:55:37;12:58:57
03:24:29;05:11:58;07:20:05;07:56:09;10:46:57;13:15:05;14:26:07
02:57:25;04:20:46;06:05:30;06:35:54;08:49:50;11:02:57;12:09:47
03:20:52;05:08:22;07:22:18;07:58:12;11:06:23;13:44:16;15:09:03
02:45:39;04:13:28;05:50:11;06:19:22;08:36:40;10:43:44;11:42:49
02:27:53;03:35:19;05:06:51;05:32:23;07:29:55;09:40:57;10:53:04
03:12:34;05:01:30;07:02:42;07:37:47;10:45:51;13:23:21;14:39:08
02:56:56;04:34:09;06:27:35;06:57:53;09:56:44;12:32:34;13:41:52
03:31:23;05:20:30;07:29:55;08:02:17;11:18:31;13:59:17;15:20:27
03:27:17;05:12:31;07:17:19;07:53:41;10:56:07;13:35:47;14:56:57
03:24:57;05:16:40;07:29:50;08:00:09;11:20:08;13:54:03;15:22:59
03:32:36;05:22:44;07:37:09;08:14:45;11:58:26;14:54:24;16:06:36
04:15:44;06:55:11;09:33:00;10:17:10;14:49:09;19:27:24;21:30:53
04:01:10;06:42:06;09:44:25;10:28:04;14:38:41;18:41:52;21:05:10
02:55:34;04:35:43;06:37:33;07:10:02;10:16:23;12:54:43;14:19:05
02:45:33;04:09:48;05:58:06;06:26:49;08:33:31;10:45:16;11:49:36
02:55:06;04:17:05;05:50:49;06:15:38;08:11:34;09:56:54;10:53:18
03:16:26;05:13:20;07:22:42;08:00:00;11:24:16;14:44:05;16:23:59
02:41:29;04:01:15;05:37:51;06:04:21;08:18:48;10:31:17;11:39:29
03:10:15;04:48:48;06:52:10;07:24:01;10:20:27;12:48:49;14:04:31
03:13:20;04:44:23;06:29:04;06:58:45;09:25:17;11:34:24;12:40:56
03:30:55;05:12:41;07:11:59;07:44:47;10:42:23;12:58:00;14:10:09
02:46:32;04:08:32;05:52:19;06:18:54;08:31:26;10:59:27;12:07:54
03:37:50;05:23:14;07:22:48;07:53:46;10:48:22;13:26:16;14:38:35
04:05:02;06:17:18;08:47:05;09:30:25;13:24:28;17:05:04;19:03:46
03:58:30;06:11:14;08:38:43;09:23:24;13:14:22;16:48:13;18:37:55
02:44:13;04:08:32;05:45:12;06:13:11;08:49:05;10:51:52;11:58:58
03:00:42;04:52:53;06:49:03;07:21:13;10:25:23;12:56:12;14:08:40
03:45:43;05:55:30;08:07:46;08:44:42;12:20:10;15:27:51;17:03:05
03:04:58;04:45:16;06:35:20;07:02:18;09:17:34;11:33:23;12:37:59
02:15:22;03:19:43;04:50:04;05:14:32;06:55:09;08:39:15;09:34:57
02:56:14;04:24:11;06:16:46;06:46:58;09:21:59;11:49:01;13:05:30
02:47:14;04:07:16;05:50:13;06:15:18;08:27:54;10:33:49;11:46:17
02:48:43;04:21:09;06:08:46;06:36:02;09:00:07;11:23:19;12:28:23
03:11:50;04:46:44;06:36:49;07:06:33;09:26:30;12:10:18;13:15:20
03:11:46;04:47:09;06:35:44;07:04:50;09:30:05;11:56:12;13:10:30
03:30:53;05:23:26;07:22:45;07:52:49;10:49:22;13:12:54;14:34:17
03:16:15;04:56:24;06:59:13;07:35:11;11:11:06;13:51:27;15:09:48
03:39:30;05:29:01;07:59:07;08:43:22;11:54:30;14:52:56;16:28:51
04:18:57;06:31:03;09:01:47;09:42:52;12:46:36;15:23:38;16:52:46
03:28:38;05:32:05;07:47:38;08:27:44;11:53:41;15:13:34;16:40:05
02:39:40;04:03:18;05:39:57;06:09:42;08:31:46;10:45:17;11:49:36
03:36:34;05:55:13;08:39:19;09:25:48;13:47:22;17:15:01;18:57:05
03:21:22;05:08:22;07:20:57;07:53:03;10:48:53;12:55:30;13:59:55
03:16:41;05:24:14;07:11:51;07:42:23;10:32:30;13:38:14;14:57:20
04:48:24;07:33:39;10:43:15;11:43:20;16:41:52;21:18:34;23:18:48
03:46:17;05:30:47;07:34:33;08:06:09;10:59:53;13:13:18;14:25:13
02:21:16;03:23:58;04:49:32;05:12:19;06:58:54;08:37:10;09:31:06
03:39:58;05:49:10;08:17:23;08:52:05;12:00:21;15:19:20;16:59:10
02:51:23;04:17:24;05:56:10;06:23:06;08:29:10;10:22:10;11:25:20
03:30:53;05:23:27;07:22:46;07:52:57;10:49:22;13:12:55;14:34:17
03:23:50;05:13:33;07:25:16;08:01:22;11:20:48;14:04:55;15:30:01
03:41:01;05:31:52;07:47:41;08:25:22;11:36:23;14:44:06;16:24:41
02:30:18;03:45:10;05:21:13;05:46:56;08:02:15;10:12:42;11:28:36
02:37:17;03:53:38;05:20:58;05:45:20;07:36:23;09:22:10;10:18:32
03:12:13;04:48:23;06:28:28;06:56:01;09:05:52;11:20:13;12:23:17
02:58:30;04:27:18;06:23:18;06:53:48;09:39:41;11:57:28;13:16:31
03:58:50;06:17:02;08:46:23;09:31:08;13:47:24;17:14:54;18:57:05
02:51:04;04:22:38;06:18:02;06:46:23;09:25:02;12:43:17;15:20:59
02:41:22;04:01:15;05:39:16;06:11:00;08:46:52;10:54:54;12:07:34
03:43:17;05:40:13;07:57:13;08:41:28;12:09:35;15:31:47;17:14:16
02:31:04;03:49:28;05:21:41;05:45:50;07:47:50;09:53:33;10:49:31
02:39:22;03:53:20;05:26:38;05:51:45;07:45:36;09:41:21;10:44:10
03:09:37;04:50:57;06:52:37;07:25:11;10:15:20;12:36:33;13:51:02
03:16:30;05:05:22;07:17:30;07:54:29;11:10:39;13:51:26;15:09:48
03:12:32;04:48:26;06:41:20;07:13:17;09:39:23;11:41:22;12:48:18
03:16:42;05:01:23;06:59:01;07:29:14;10:16:07;12:53:24;14:14:15
03:22:49;05:14:45;07:15:09;07:49:14;10:53:45;13:35:47;14:57:29
03:05:59;04:33:01;06:24:52;06:55:12;09:22:48;11:45:46;12:58:26
03:56:49;06:02:17;08:29:35;09:10:39;12:58:32;16:26:40;18:11:56
03:55:42;05:55:57;08:34:59;09:15:01;12:35:20;15:23:28;16:52:21
03:55:35;05:48:29;07:52:07;08:28:58;11:46:00;14:42:18;16:04:18
02:56:58;04:34:07;06:26:42;06:57:51;09:48:48;12:03:29;13:09:08
03:00:30;04:30:29;06:22:32;06:52:05;09:19:06;11:31:08;12:34:26
03:18:07;04:57:22;06:41:08;07:10:46;09:47:29;11:55:38;12:58:57
04:15:36;06:29:42;09:01:55;09:42:49;12:59:44;16:13:35;18:50:49
02:47:00;04:09:44;05:53:13;06:20:52;08:33:28;10:45:03;11:48:17
03:01:42;04:40:32;06:38:38;07:10:04;10:10:31;12:55:55;14:11:40
03:48:06;05:58:34;08:41:53;09:25:23;13:01:50;17:07:20;18:59:15
04:01:42;06:19:02;08:53:11;09:36:49;13:30:43;17:18:01;19:07:58
03:42:29;05:50:55;08:15:58;08:49:14;12:19:04;15:27:27;16:57:05
03:04:59;04:37:11;06:26:01;06:54:05;09:21:43;11:49:47;12:55:52
02:58:17;04:30:59;06:29:03;07:00:05;09:32:14;12:10:21;13:28:12
03:02:13;04:37:43;06:30:49;07:01:46;09:41:56;12:06:51;13:11:26
03:08:04;04:39:33;06:29:40;06:59:50;09:40:52;12:08:58;13:23:45
03:46:18;05:34:21;07:36:54;08:10:30;11:02:31;13:23:50;14:38:08
03:43:18;05:40:12;07:57:16;08:41:30;12:09:36;15:31:46;17:14:16
02:46:44;04:11:49;05:56:31;06:29:46;09:12:49;11:23:08;13:32:35
03:23:33;05:06:20;07:17:26;07:59:56;11:30:21;15:46:23;19:09:47
03:38:50;05:35:41;08:03:01;08:49:13;12:49:51;16:27:13;18:20:54
02:27:04;03:43:30;05:21:20;05:47:10;07:47:52;09:46:19;10:41:07
03:17:26;04:56:26;07:00:50;07:32:31;10:21:33;13:05:52;14:38:04
02:31:02;03:49:25;05:21:21;05:45:49;07:47:41;09:53:25;10:49:31
03:37:42;05:28:15;07:42:30;08:15:23;10:50:51;13:33:42;14:47:21
03:37:07;05:37:01;07:49:22;08:31:57;11:56:13;14:47:18;16:11:38
04:05:15;06:17:29;08:47:14;09:30:54;13:24:27;17:05:05;19:03:46
03:10:55;04:45:46;06:56:41;07:31:18;10:38:59;13:12:07;14:35:42
03:20:26;05:03:35;07:18:18;07:56:34;10:49:54;12:55:17;13:56:42
03:34:31;05:25:48;07:22:30;07:50:40;10:48:21;13:27:31;14:41:36
03:11:13;04:45:12;06:45:57;07:16:56;09:38:26;12:05:33;13:10:44
04:03:22;06:04:44;08:21:15;09:06:34;13:30:38;17:16:36;18:52:28
02:28:39;03:34:38;04:55:16;05:17:36;07:07:24;08:59:34;09:52:05
03:26:20;05:14:35;07:25:59;07:59:33;10:58:39;13:52:41;15:36:53
03:15:00;05:01:01;07:02:52;07:38:04;10:54:00;13:13:09;14:26:15
02:27:07;03:37:23;05:07:15;05:32:23;07:30:41;09:46:06;10:49:26
03:09:37;04:51:58;06:53:31;07:26:40;10:47:31;13:33:31;14:58:16
02:30:42;03:43:29;05:19:24;05:44:03;07:50:35;09:59:45;11:07:49
02:05:29;03:04:54;04:16:19;04:35:41;06:06:02;07:38:04;08:27:31
02:36:51;03:47:05;05:16:24;05:39:50;07:38:35;09:32:10;10:36:20
03:08:11;04:45:29;06:28:30;06:55:32;09:42:39;12:03:27;13:09:22
02:36:52;03:47:05;05:18:28;05:43:12;07:45:23;09:39:19;11:36:33
02:44:54;04:09:35;05:48:12;06:14:18;08:27:56;10:25:05;11:25:08
03:34:31;05:25:47;07:22:32;07:50:40;10:48:20;13:27:32;14:41:35
03:11:51;04:46:12;06:33:06;07:02:17;09:45:03;12:13:15;13:26:50
03:55:34;05:53:38;08:13:44;08:52:27;11:56:55;14:40:55;16:04:46
03:14:26;04:48:04;06:30:45;06:58:33;09:05:15;11:22:37;12:35:42
03:17:06;05:06:26;07:18:29;07:53:18;11:11:06;14:05:31;15:37:36
02:55:24;04:16:53;06:02:12;06:32:29;10:01:36;13:01:37;13:59:11
03:45:48;05:48:11;08:07:00;08:41:23;11:53:42;14:36:44;15:53:22
03:04:10;04:33:27;06:26:39;06:56:49;09:33:15;12:01:05;13:15:53
02:04:52;03:03:02;04:14:15;04:34:29;06:02:26;07:27:15;08:11:27
02:37:12;03:53:39;05:28:35;05:55:58;08:15:09;10:23:31;11:22:38
03:48:05;05:55:04;08:18:30;08:59:50;12:38:15;15:44:50;17:20:05
03:03:31;04:35:50;06:34:31;07:06:44;09:41:07;12:17:44;13:28:50
02:42:59;04:06:16;05:45:10;06:11:30;08:25:50;10:34:17;11:38:15
02:04:26;03:02:12;04:15:34;04:36:55;06:20:10;08:02:08;08:53:08
03:47:51;05:55:22;08:17:31;08:55:44;12:12:27;15:38:18;17:08:37
03:45:41;05:57:41;08:08:02;08:47:32;12:28:42;16:03:49;17:51:12
03:05:07;04:45:28;06:41:12;07:10:53;09:42:15;11:53:23;13:03:19
03:17:04;05:01:34;07:05:46;07:40:21;10:38:34;13:22:03;14:37:46
02:57:09;04:22:18;06:10:39;06:41:19;09:33:37;12:20:45;13:28:27
03:00:01;04:23:27;06:02:42;06:28:36;08:49:16;10:58:03;11:59:05
02:49:07;04:19:07;06:09:55;06:40:54;09:18:26;11:32:58;12:34:52
02:21:08;03:30:36;04:57:38;05:21:52;07:17:19;09:08:10;10:08:21
02:28:22;03:49:31;05:18:26;05:41:58;07:44:13;09:44:51;10:44:48
03:18:58;05:00:42;07:07:40;07:42:52;10:44:29;13:27:47;14:46:52
03:38:48;05:35:36;08:02:56;08:49:09;12:49:52;16:26:24;18:20:54
02:55:07;04:21:48;06:02:07;06:30:55;09:01:46;11:02:42;13:12:00
04:32:43;07:33:46;10:40:43;11:43:15;16:41:24;21:18:33;23:18:47
02:49:27;04:17:59;06:22:20;06:53:35;10:04:01;12:18:19;13:22:33
03:03:32;04:35:51;06:34:52;07:07:12;09:41:06;12:17:48;13:28:50
02:04:27;03:03:02;04:16:15;04:35:53;06:18:55;08:02:08;08:55:24
02:12:12;03:10:15;04:28:12;04:47:41;06:21:54;07:55:32;08:46:03
04:01:40;06:18:59;08:53:08;09:36:49;13:30:42;17:17:58;19:07:57
02:37:34;03:59:24;06:03:24;06:35:16;09:04:22;11:33:24;12:51:54
03:54:34;06:07:26;08:29:09;09:06:56;13:01:23;16:53:45;18:59:03
02:54:25;04:25:18;06:16:57;06:48:51;09:28:06;12:12:28;13:22:47
03:47:56;05:55:26;08:22:31;09:02:40;12:19:06;15:39:50;17:12:42
03:55:43;06:02:34;08:36:47;09:23:42;13:46:17;18:55:40;21:37:45
02:32:08;03:53:45;05:55:42;06:28:34;09:11:39;11:41:20;12:53:22
03:56:08;06:00:40;08:29:17;09:10:21;13:01:43;16:42:37;18:57:05
03:43:15;05:56:19;08:26:17;09:08:07;12:50:42;15:50:36;17:19:26
03:38:44;05:27:00;07:36:51;08:14:09;11:30:00;14:18:04;15:45:14
02:52:21;04:17:21;05:57:55;06:26:12;08:29:32;10:25:18;11:22:59
02:40:19;04:06:14;05:47:06;06:15:12;08:31:32;10:59:22;12:06:44
03:09:02;04:59:37;07:15:35;07:53:06;11:03:08;13:50:26;15:25:58
03:55:41;05:55:58;08:35:13;09:15:01;12:35:21;15:23:36;16:52:21
03:23:51;05:13:34;07:25:52;08:02:57;11:20:58;14:04:53;15:30:01
03:06:28;04:42:44;06:35:22;07:02:32;09:30:23;11:53:17;12:59:32
02:51:52;04:18:20;06:03:02;06:32:38;09:08:21;11:24:13;12:37:17
03:15:50;04:49:20;06:32:17;06:59:02;09:27:27;11:49:03;13:00:28
02:51:15;04:12:04;05:49:44;06:16:41;08:33:31;10:31:28;11:27:49
02:39:18;03:55:49;05:28:49;05:54:50;08:05:42;10:03:41;11:11:12
03:09:06;04:46:07;06:51:50;07:24:48;10:37:40;13:36:48;15:09:02
03:35:08;05:31:51;07:40:15;08:16:30;11:33:58;14:37:06;15:58:42
03:55:37;05:48:34;07:53:51;08:30:42;11:46:04;14:42:18;16:04:18
03:26:21;05:14:36;07:16:46;07:48:32;10:28:29;13:00:35;14:18:46
03:31:21;05:20:05;07:31:25;08:05:13;11:26:52;14:47:06;16:28:01
02:11:46;03:21:14;04:56:17;05:18:29;07:00:38;08:48:12;09:44:48
02:56:18;04:31:24;06:28:55;07:01:47;09:48:42;12:30:27;13:51:08
03:21:32;05:04:36;07:02:10;07:32:09;10:06:51;12:34:45;13:43:51
03:49:28;05:56:17;08:22:37;09:00:23;12:32:05;16:18:36;17:54:41
04:21:38;06:44:23;09:27:41;10:15:49;14:25:59;18:25:43;20:14:55
03:38:05;05:41:46;07:54:03;08:31:02;12:15:28;15:41:04;17:15:32
04:14:37;06:37:16;09:11:19;09:59:50;14:36:06;18:08:18;19:40:44
03:15:01;05:01:01;07:02:50;07:38:05;10:54:01;13:13:13;14:26:15
03:06:57;04:40:13;06:33:03;07:03:53;09:30:20;11:55:46;13:07:15
03:07:23;04:42:37;06:23:05;06:53:57;09:37:02;12:04:21;13:27:15
02:20:09;03:24:00;04:41:26;05:03:19;06:50:42;08:32:36;09:26:43
03:35:14;05:55:17;08:21:43;08:55:37;12:46:52;16:42:22;18:38:50
03:41:24;05:37:24;07:51:51;08:27:23;11:35:05;14:25:17;15:49:40
02:37:33;03:58:37;05:35:06;06:03:01;08:24:35;10:31:28;12:49:36
03:26:19;05:14:38;07:16:41;07:48:09;10:15:58;12:48:48;14:00:43
03:17:03;04:44:23;06:28:51;06:59:39;09:29:19;11:37:45;12:49:42
04:03:20;06:04:43;08:21:30;09:06:20;13:30:30;17:16:34;18:52:28
02:52:34;04:22:06;06:09:51;06:41:36;09:05:38;11:26:10;12:32:10
04:15:08;06:37:55;09:29:42;10:15:07;14:18:02;18:08:12;19:55:49
04:15:27;06:48:20;09:41:55;10:35:13;14:46:33;19:04:40;21:19:27
02:56:20;04:17:05;05:56:07;06:23:28;08:24:42;10:31:23;11:39:06
02:39:28;04:01:12;05:37:13;06:04:22;08:09:10;09:56:14;11:02:55
03:28:34;05:29:16;07:32:20;08:06:08;10:59:19;13:17:58;14:35:24
02:19:40;03:26:08;04:43:55;05:06:36;06:50:33;08:36:18;09:35:35
03:21:33;05:06:18;07:23:45;08:00:08;11:24:15;14:16:28;15:43:53
